Tempo (s),Posicao X,Posicao Y
11.678333333333335,251,589
11.695016666666668,257,589
11.7117,262,589
11.728383333333333,268,589
11.745066666666668,274,589
11.761750000000001,279,589
11.778433333333334,285,589
11.795116666666667,290,588
11.8118,295,588
11.828483333333335,301,587
11.845166666666668,306,588
11.86185,311,587
11.878533333333333,315,586
11.895216666666668,319,586
11.911900000000001,323,585
11.928583333333334,327,585
11.945266666666667,330,585
11.96195,333,584
11.978633333333335,336,584
11.995316666666668,338,584
12.012,340,583
12.028683333333335,342,583
12.045366666666668,344,583
12.062050000000001,344,582
12.078733333333334,345,582
12.095416666666667,345,582
12.1121,345,582
12.128783333333335,344,582
12.145466666666668,343,583
12.16215,342,583
12.178833333333333,340,583
12.195516666666668,338,584
12.212200000000001,335,584
12.228883333333334,332,585
12.245566666666667,329,585
12.26225,325,586
12.278933333333335,322,587
12.295616666666668,317,587
12.3123,313,588
12.328983333333333,308,588
12.345666666666668,303,589
12.362350000000001,298,588
12.379033333333334,293,589
12.395716666666667,288,590
12.4124,282,590
12.429083333333335,276,590
12.445766666666668,271,591
12.46245,265,591
12.479133333333333,259,591
12.495816666666668,253,591
12.512500000000001,247,591
12.529183333333334,241,591
12.545866666666667,235,591
12.56255,229,591
12.579233333333335,224,591
12.595916666666668,219,591
12.6126,214,591
12.629283333333333,208,591
12.645966666666668,207,591
12.662650000000001,199,590
12.679333333333334,198,590
12.696016666666667,191,589
12.7127,191,589
12.729383333333335,187,589
12.746066666666668,185,589
12.76275,178,588
12.779433333333333,179,588
12.796116666666668,177,588
12.812800000000001,175,587
12.829483333333334,171,587
12.846166666666665,173,587
12.86285,172,587
12.879533333333335,172,587
12.896216666666668,172,587
12.9129,173,587
12.929583333333333,174,587
12.946266666666668,175,587
12.962950000000001,177,587
12.979633333333334,180,588
12.996316666666667,182,588
13.013,185,589
13.029683333333335,187,589
13.046366666666668,191,589
13.06305,192,590
13.079733333333333,199,590
13.096416666666668,200,590
13.113100000000001,208,591
13.129783333333334,209,592
13.146466666666667,215,592
13.16315,220,592
13.179833333333335,225,592
13.196516666666668,230,593
13.2132,236,593
13.229883333333333,241,593
13.246566666666668,248,593
13.263250000000001,253,593
13.279933333333334,259,593
